Pharmacy,Populations,Disability,Insurance,Poverty,Work
MID-CAROLINA HOMECARE SPECIALISTS,"[['37183053609', '37183053609']]",[0.07613469985358712],[0.8982430453879942],[0.13862815884476534],[0.7904849039341263]
WALGREENS - 6616,[['37147000301']],[0.10497032640949555],[0.9083827893175074],[0.08160237388724036],[0.7870478413068844]
WAL-MART SUPERCENTER - 2772,"[['37019020305', '37019020306', '37019020307', '37019020305']]",[0.12952609158679446],[0.9032215122470714],[0.04514073287307488],[0.7258741258741259]
WALGREENS - 12063,"[['37183054305', '37183054305']]",[0.1723911616714067],[0.8453292496171516],[0.10588492671187924],[0.8039532069382815]
CAROLINA BREATHING SOLUTIONS,"[['37087920900', '37087921100', '37087921301', '37087920900']]",[0.18938885157824042],[0.8626115321884295],[0.1794871794871795],[0.7242607214739124]
DUNN DISCOUNT DRUGS,[['37085070500']],[0.1646897025958398],[0.8672855423757951],[0.14095928226363008],[0.7212925562608193]
DOWN EAST RESPIRATORY SERVICES INCORPORATED,"[['37147000504', '37147000504']]",[0.10455588331694526],[0.9233038348082596],[0.38010043942247335],[0.864590622813156]
BEAR DRUGS OF NAGS HEAD,[['37055970400']],[0.07920792079207921],[0.9650165016501651],[0.027547295054762694],[0.9104193138500636]
RITE AID - 11547,[['37097060601']],[0.09798165137614678],[0.9141284403669725],[0.19192660550458715],[0.7741671217913708]
BLOOM - 2585,"[['37119005510', '37119005511', '37119005528']]",[0.05312388432702606],[0.8103534451981436],[0.12217065333809354],[0.7960345704117946]
CVS - 4431,"[['37081010602', '37081011500', '37081010602']]",[0.09011529331976942],[0.9114106476771787],[0.3240037071362373],[0.7873399715504978]
RITE AID - 11400,"[['37183054011', '37183054011']]",[0.05146281283045471],[0.9506520972858653],[0.026194690265486726],[0.8285536159600998]
CVS - 5565,"[['37071032702', '37071032702']]",[0.23865110246433205],[0.9399048854301773],[0.12321660181582361],[0.7141891891891892]
CAREMOR FAMILY PHARMACY,"[['37035011505', '37035011506', '37109071101', '37109071101']]",[0.12387898433279308],[0.9367368989735279],[0.09539812455959673],[0.7707972270363952]
HEALTHSMART PHARMACY,[['37097061403']],[0.11811577220529647],[0.9784391844387157],[0.07197513151602104],[0.8661475713756025]
MEDICINE CENTER PHARMACY,[['37085070100']],[0.21389089161259311],[0.8949771689497716],[0.23447279730380358],[0.6817180616740088]
BUNN DRUG,"[['37069060701', '37069060703', '37069060801', '37069060801']]",[0.22581459964637535],[0.8795992253936179],[0.1180432769217816],[0.6736775015933716]
WAL-MART - 4334,"[['37021002701', '37021002702', '37021002702']]",[0.14639191052550943],[0.9317450589857514],[0.06680968433956481],[0.8020446096654275]
RITE AID - 11472,"[['37119004200', '37119004302', '37119004200']]",[0.1258931929296728],[0.8197630688228658],[0.1844678450545318],[0.7814467823682998]
CVS - 7584,[['37067003805']],[0.13403012603750383],[0.8837995696280356],[0.1675840978593272],[0.7730853391684902]
CVS - 7089,"[['37119000103', '37119000501', '37119000502', '37119000503', '37119004900', '37119005200', '37119000103']]",[0.08832147341984094],[0.916450397655923],[0.13649025069637882],[0.8842405748597303]
RITE AID - 11499,"[['37119005847', '37119005817']]",[0.07223663725998962],[0.9746756616502336],[0.04322976202847345],[0.7964051738619183]
CVS - 7330,[['37127010506']],[0.09861197431116636],[0.929562875492024],[0.0534604227103191],[0.7243670886075949]
CVS - 3582,"[['37089931000', '37089931000']]",[0.21481028151774786],[0.8888208894328845],[0.2248062015503876],[0.7731755424063116]
RITE AID - 11557,"[['37087920400', '37087920400']]",[0.15609514370664024],[0.9038652130822596],[0.10753221010901882],[0.779050736497545]
DOROTHEA DIX HOSPITAL PHARMACY,"[['37183051000', '37183051000']]",[0.13864541832669322],[0.9442231075697212],[0.11151368760064412],[0.8855421686746988]
MEDICAL PHARMACY OF ALBEMARLE INCORPORATED,"[['37167931204', '37167931204']]",[0.2746212121212121],[0.9655303030303031],[0.1534090909090909],[0.7454031117397454]
RITE AID - 11453,"[['37119005848', '37119005851', '37119005849']]",[0.05687677980451012],[0.9410451781728623],[0.04802586007850381],[0.8040556755459564]
MOUNTAIN STREET PHARMACY INCORPORATED,"[['37045950500', '37045950400']]",[0.17177302393038435],[0.8829767947788252],[0.19807377793930583],[0.7418965777174732]
THE DRUG STORE,"[['37109070202', '37109070202']]",[0.15153393244499536],[0.9259374031608305],[0.06600557793616361],[0.790376369699857]
GAMEWELL FAMILY PHARMACY,"[['37027030200', '37027030300', '37027030802', '37027030900', '37027030300']]",[0.18371676409579482],[0.8837921930982463],[0.17175247992442136],[0.7060803230872784]
WALGREENS - 1611,[['37183052701']],[0.08299566857621908],[0.6551627777001537],[0.1329240434037693],[0.8109287346769167]
RITE AID - 11422,"[['37013930200', '37013930400', '37013930300']]",[0.193156205177242],[0.865173143910935],[0.2716142270861833],[0.6379291553133515]
WALGREENS - 12728,"[['37063002035', '37063002036']]",[0.07885462555066079],[0.914647577092511],[0.06420082194823948],[0.8952903520804756]
CVS - 5504,"[['37051002505', '37051002505']]",[0.15681233933161953],[0.8634961439588689],[0.30102835774384545],[0.5874076679563841]
WALGREENS - 6479,[['37119005834']],[0.10886917960088692],[0.9330376940133037],[0.06031042128603104],[0.7639841212558643]
WAL-MART SUPERCENTER - 1238,[['37051002001']],[0.10510610079575597],[0.8408488063660478],[0.23714458560193588],[0.8026315789473685]
WAL-MART - 2247,[['37183053004']],[0.09203606311044328],[0.9752066115702479],[0.06574004507888806],[0.7782925215089345]
CVS - 4297,[['37037020402']],[0.09970978441127695],[0.6554726368159204],[0.32305127136306794],[0.68888233559422]
RITE AID - 11383,[['37101040700']],[0.20078947368421052],[0.9223684210526316],[0.28342105263157896],[0.6400339991500212]
RITE AID - 11366,"[['37135011800', '37135011903', '37135011904', '37135011903']]",[0.0783041315163314],[0.936404931862427],[0.1910525178301275],[0.8005152149412333]
POPE AIR FORCE BASE - 43RD MEDICAL SQUADRON - POPE HEALTH CLINIC-DOD,"[['37051003401', '37085071302', '37051003401']]",[0.09863387978142077],[0.9320582877959928],[0.11951745625948709],[0.7651198592478557]
CATAWBA VALLEY MEDICAL CENTER,[['37035010204']],[0.12342671538773853],[0.8402354851806739],[0.1464060272856852],[0.7855600123418698]
HARRIS TEETER - 69,"[['37183052509', '37183052509']]",[0.11381863047501542],[0.8908081431215299],[0.13972856261566935],[0.8331889081455806]
THE VILLAGE AT BROOKWOOD,"[['37001020602', '37001020602']]",[0.1745411948457634],[0.9074580242092932],[0.04009342156481121],[0.7876602564102564]
CVS - 6407,"[['37045950603', '37045950400']]",[0.16692131398013751],[0.9058441558441559],[0.1520244461420932],[0.7621019108280255]
RITE AID - 11373,"[['37183052813', '37183052814', '37183052812']]",[0.11944469485260975],[0.9030920400252411],[0.09773755656108597],[0.7850840915357045]
RITE AID - 11334,"[['37081014000', '37081014000']]",[0.1347517730496454],[0.6770094562647754],[0.28848560700876097],[0.7538883806038427]
ALBEMARLE COMPOUNDING AND PRESCRIPTION CENTER,[['37167931204']],[0.2746212121212121],[0.9655303030303031],[0.1534090909090909],[0.7454031117397454]
HEALTH INNOVATIONS PHARMACY,[['37125951102']],[0.11048265460030166],[0.8946078431372549],[0.08844896476571014],[0.8419333768778576]
SOUTH COURT DRUG COMPANY,"[['37001021000', '37001021000']]",[0.12276975361087511],[0.7892948173322005],[0.42778249787595585],[0.7095871238628412]
CVS - 7394,"[['37081011601', '37081012604', '37081012611', '37081011601']]",[0.11987288448747321],[0.8366713472766241],[0.19559043348281016],[0.8029529307282416]
WAL-MART SUPERCENTER - 3626,"[['37067003600', '37067003702', '37067003702']]",[0.09120758847136082],[0.8501068431750665],[0.10115922441129074],[0.8089936129811842]
BRIER CREEK HEALTH MART PHARMACY,"[['37183980100', '37183053613']]",[0.11576753878212549],[0.9004399166473721],[0.04800189170016552],[0.9358618563058896]
WALGREENS - 7278,"[['37159051302', '37159050500']]",[0.15346172598732324],[0.9171136031204291],[0.04922210300429185],[0.7441654879773691]
DURHAM TREATMENT CENTER,"[['37063000401', '37063001705', '37063001705']]",[0.09948479791016616],[0.9111094985850083],[0.18177200493432988],[0.8862867877269881]
WALGREENS - 2453,"[['37147000901', '37147000902', '37147001001', '37147000303']]",[0.1343408900083963],[0.8856575833905809],[0.3177091183119819],[0.7967837867606564]
VETERAN AFFAIRS MEDICAL CENTER - CHARLOTTE CLINIC,"[['37119005613', '37119005623']]",[0.05026929982046679],[0.8901000256476019],[0.1663880673781664],[0.796149299104881]
SEVEN LAKES PRESCRIPTION SHOPPE,"[['37125950304', '37125950305', '37125950303']]",[0.19502791810688647],[0.9488168040414783],[0.10486342438374417],[0.7554257095158597]
MATTHEWS HEALTH MART PHARMACY,"[['37163970600', '37163970701', '37163970702', '37163970701']]",[0.15436831177128255],[0.8458712665708353],[0.245361484325016],[0.6760967098703888]
INGLES MARKETS - 130,[['37021002204']],[0.13138851198552692],[0.9408638625056536],[0.07620985979194934],[0.7727957169148402]
WALGREENS - 6951,[['37129010503']],[0.10085298544907174],[0.6934269944806823],[0.17661816357250376],[0.9290201005025126]
INGLES MARKETS - 67,[['37175960301']],[0.1408955223880597],[0.8907462686567165],[0.05894736842105263],[0.8422756706753006]
RITE AID - 11364,"[['37183053423', '37183053435', '37183053509', '37183053518', '37183053423']]",[0.0745874587458746],[0.9344334433443344],[0.03037640325775919],[0.8008807529574302]
WAL-MART SUPERCENTER - 3305,"[['37157040601', '37157040602', '37157040900', '37157040900']]",[0.20004563778808854],[0.8808093101087701],[0.14279137573850995],[0.7215601300108342]
WALGREENS - 1056,[['37155960900']],[0.1818637274549098],[0.8962925851703407],[0.2029058116232465],[0.7520215633423181]
WAL-MART SUPERCENTER - 2704,"[['37151030503', '37151031304', '37151031401']]",[0.15584064821066848],[0.8896016205266711],[0.21051908816259268],[0.7432387312186979]
CVS - 3569,"[['37097060902', '37097061003', '37097061003']]",[0.13938662991040662],[0.9056685044796692],[0.1217473720489402],[0.7765470388421208]
CVS - 3620,"[['37139960400', '37139960300']]",[0.1914512031086534],[0.8790913166940667],[0.33890577507598785],[0.6590740282248081]
RITE AID - 11386,[['37183053111']],[0.08310067334537691],[0.8935785843324027],[0.06444226365718024],[0.8536402301726295]
TOXAWAY PHARMACY,"[['37175960601', '37175960602', '37175960601']]",[0.10062079668908433],[0.7224521469218831],[0.13044605809128632],[0.7861350249207069]
CVS - 2471,"[['37183053725', '37183053726', '37183053726']]",[0.10432793807178044],[0.9383356790992259],[0.07921313778870642],[0.8548829098156452]
CAMP LEJEUNE NAVAL HOSPITAL PHARMACY-DOD,"[['37133000700', '37133000901', '37133000901']]",[0.06385696040868455],[0.9972860791826309],[0.10012062726176116],[0.751972291706754]
KING'S PHARMACY AND COMPOUNDING LAB,[['37129010503']],[0.10085298544907174],[0.6934269944806823],[0.17661816357250376],[0.9290201005025126]
DAVIS DRUG COMPANY,"[['37101040101', '37101040102', '37101040103', '37195001600', '37101040101']]",[0.13890283255647184],[0.8495518106848333],[0.19815734542575397],[0.731760967860198]
WALGREENS - 12730,"[['37183053805', '37183053808', '37183054011']]",[0.06798693344222131],[0.9653940383830135],[0.01872505883556738],[0.7868940754039497]
ROCKY POINT PAVILION PHARMACY,"[['37141920601', '37141920602', '37141920602']]",[0.1466093600764088],[0.8888661481784691],[0.1788278738972851],[0.8057277826985533]
CVS - 7018,"[['37183051900', '37183052001']]",[0.11569069960802945],[0.8479629409668606],[0.23209817705230548],[0.7685401328784341]
MAPLE HILL PHARMACY,"[['37061090600', '37133000304', '37141920204', '37141920204']]",[0.23168936326831063],[0.8937246963562753],[0.15856388217387413],[0.8108144919640425]
WOMBLE DRUG STORE,"[['37015960402', '37187950201', '37187950202', '37187950300', '37187950201']]",[0.24289272524263505],[0.9020870909559392],[0.31713202344019303],[0.5035701744117992]
INGLES MARKETS - 179,"[['37089930201', '37089930202', '37089930301', '37089930402', '37089931000']]",[0.1477085053674649],[0.8457886044591247],[0.1609385497958551],[0.7792990142387732]
RITE AID - 11542,"[['37035010403', '37035010403']]",[0.17333333333333334],[0.8447179487179487],[0.216],[0.6989281210592686]
RITE AID - 11519,"[['37129011100', '37129011300', '37129010200']]",[0.1960386588712564],[0.8575349003698842],[0.3135967530142056],[0.6570340889427236]
WALGREENS - 7341,"[['37183053513', '37183053513']]",[0.07408262174013386],[0.8462958689129934],[0.07362104777290561],[0.8763250883392226]
SOUTHEAST FAMILY PHARMACY,"[['37191000401', '37191000402', '37191000604', '37191000402']]",[0.1317856724117716],[0.841071637941142],[0.18758356100680115],[0.7557776962582539]
MAST PHARMACY,"[['37117970300', '37117970200']]",[0.19753777280358142],[0.9356463346390599],[0.26119194180190264],[0.6908813817627635]
INGLES MARKETS - 7,"[['37021001801', '37021000700']]",[0.14496314496314497],[0.9054054054054054],[0.10913185913185913],[0.8461283917935142]
RITE AID - 11528,[['37019020514']],[0.16631652661064425],[0.917016806722689],[0.0914526908195568],[0.7426733380986419]
CVS - 5379,[['37059080301']],[0.14966863033873343],[0.9965022091310751],[0.012518409425625921],[0.7088514996342355]
CVS - 7008,"[['37149920103', '37149920104', '37149920201', '37149920104']]",[0.16565452091767882],[0.877108636977058],[0.08628113127902068],[0.8016350455036249]
PEAK PHARMACY,"[['37067003201', '37067003201']]",[0.1087945413191812],[0.890636846095527],[0.10064442759666414],[0.7723187537447573]
BEAR DRUGS PHARMACY,[['37055970102']],[0.0865174672489083],[0.9295851528384279],[0.03657205240174673],[0.8904481665912177]
CENTRAL REGIONAL HOSPITAL,"[['37077970704', '37077970704']]",[0.0],[0.0],[0.0],[0.28068303094983993]
CVS - 3973,"[['37127010601', '37127010601']]",[0.14804123711340206],[0.8923711340206185],[0.16170212765957448],[0.8396946564885496]
HARRIS TEETER - 280,"[['37081015704', '37081016006']]",[0.10017350013697379],[0.9456670623687334],[0.07517834278397659],[0.8511303853263188]
SCOTT COMMUNITY HEALTH CENTER,"[['37001021300', '37001021400', '37033930500', '37001021400']]",[0.16839986581684],[0.920429386112043],[0.08573739552440011],[0.8037908769006457]
MARTIN DRUG COMPANY,"[['37159051501', '37159051501']]",[0.11374407582938388],[0.8578199052132701],[0.22871333964049195],[0.7375710227272727]
COMMUNITY PHARMACY INCORPORATED,"[['37031970401', '37031970502', '37031970503', '37031970401']]",[0.1843376918703809],[0.8774872086412735],[0.12429617117117117],[0.8478212290502793]
WALLY'S PHARMACY,"[['37171930202', '37171930400']]",[0.19622641509433963],[0.8617495711835335],[0.33276157804459694],[0.6842998585572843]
HARRIS TEETER - 347,"[['37081010403', '37081012503', '37081012508', '37081012508']]",[0.11140805077668281],[0.9175714047102055],[0.13504259228328044],[0.8092478104070067]
INSTITUTIONAL PHARMACY SOLUTIONS,"[['37133000902', '37133002202', '37133002202']]",[0.11737688185761674],[0.9032916560347027],[0.26846299810246677],[0.7835477058936456]
HARRIS TEETER - 11,"[['37119005855', '37119005855']]",[0.05638230978830434],[0.951582477468036],[0.01781597149444561],[0.7812694461729932]
HARVEST FAMILY HEALTH CENTER PHARMACY,"[['37127011202', '37127011300', '37127011202']]",[0.1452356316433073],[0.8453579155300536],[0.11580137567134646],[0.7046285018270402]
RITE AID - 11414,[['37147000701']],[0.15867158671586715],[0.9166666666666666],[0.43067937288656627],[0.7310282891782667]
MARY TAYLOR HOMES,"[['37079950200', '37079950302', '37191000302', '37191000302']]",[0.1840229046202212],[0.8790209397630944],[0.14789203658264555],[0.724191063174114]
WALGREENS - 7153,"[['37051001702', '37051001901', '37051003207', '37051001605']]",[0.1403442711135019],[0.859010220548682],[0.15324216109406688],[0.7318327974276527]
COMMWELL HEALTH,"[['37101041302', '37163970201', '37163970202', '37101041302']]",[0.16376281637628165],[0.8815515881551588],[0.2005468806217169],[0.7309998776159589]
FOOD LION - 10,"[['37159051204', '37159050300']]",[0.18722956379370834],[0.8325342065255525],[0.18709073900841908],[0.7109046283309958]
RITE AID - 11321,"[['37067000400', '37067001400', '37067001500', '37067001601', '37067000400']]",[0.10671833272241714],[0.8180342462166833],[0.3435211044949149],[0.6125786163522012]
CVS - 3813,[['37167931203']],[0.34247017091260884],[0.8822960335375686],[0.46468881006127055],[0.6374853113983548]
GIANT GENIE HEALTH MART PHARMACY,"[['37119003110', '37119003110']]",[0.04126984126984127],[0.9682539682539683],[0.13741496598639455],[0.9190101237345332]
HEALTH CENTER PHARMACY,"[['37035011101', '37035011101']]",[0.1564525633470831],[0.8930465527401297],[0.09844255069056715],[0.7453959484346224]
STANTONSBURG DRUG COMPANY,"[['37195001000', '37195001100', '37195001000']]",[0.19749652294853964],[0.863467779323134],[0.19031061659712564],[0.7412731006160165]
